epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,497.148,0.45041,0.4978,0.63015,0.96275,0.74876,0.77473,0.86865,0.75238,0.74876,0.77473,0.86865,0.79602,0.53557,0.36875,0.72884,0.91869,0.000379743,0.000379743,0.000379743
41,511.977,0.47101,0.50434,0.78569,1.04166,0.78213,0.77708,0.84978,0.71414,0.77407,0.76688,0.83202,0.76034,0.59515,0.46441,0.82218,0.9397,0.000346736,0.000346736,0.000346736
42,524.786,0.4056,0.44891,0.61887,0.97638,0.72875,0.79631,0.84823,0.76382,0.72875,0.79631,0.85284,0.78637,0.50484,0.44456,0.77914,0.87833,0.000313729,0.000313729,0.000313729
43,537.761,0.3886,0.42161,0.58406,0.98704,0.65043,0.86142,0.80864,0.72162,0.65043,0.86142,0.80957,0.74966,0.48242,0.38078,0.80655,0.87779,0.000280723,0.000280723,0.000280723
44,552.007,0.38527,0.41898,0.54751,0.96778,0.68488,0.82339,0.82732,0.73742,0.68488,0.82339,0.82732,0.76435,0.46277,0.36722,0.73869,0.85217,0.000247716,0.000247716,0.000247716
45,564.642,0.37511,0.38836,0.51116,0.95249,0.78052,0.80255,0.84739,0.75506,0.78052,0.80255,0.84739,0.78085,0.43318,0.38575,0.70495,0.82877,0.00021471,0.00021471,0.00021471
46,577.299,0.36223,0.37428,0.49963,0.96695,0.80917,0.80416,0.87717,0.79032,0.80917,0.80416,0.87717,0.79555,0.42375,0.40514,0.62122,0.83047,0.000181703,0.000181703,0.000181703
47,589.724,0.37175,0.39078,0.51334,0.96334,0.75978,0.7759,0.83874,0.75918,0.75978,0.7759,0.83874,0.7737,0.42761,0.40974,0.67753,0.8398,0.000148696,0.000148696,0.000148696
48,601.712,0.35044,0.41711,0.48533,0.95626,0.83888,0.741,0.82932,0.75907,0.83888,0.741,0.83033,0.76446,0.4046,0.3999,0.71177,0.81892,0.00011569,0.00011569,0.00011569
49,613.85,0.34229,0.37644,0.48103,0.95085,0.84625,0.75966,0.8314,0.76091,0.84625,0.75966,0.83213,0.77262,0.39552,0.37781,0.7022,0.80199,8.26832e-05,8.26832e-05,8.26832e-05
50,626.434,0.33369,0.34042,0.4609,0.93646,0.84225,0.75667,0.82984,0.76207,0.84225,0.75667,0.83038,0.77025,0.39341,0.37313,0.69164,0.79383,4.96766e-05,4.96766e-05,4.96766e-05
